"cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi"
28006,2020-08-01,439,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-11-01,402,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-08-01,530,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-04-01,545,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-06-01,562,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-04-01,452,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-12-01,393,0,"Dados Históricos","actual","histórico",NA,NA
28006,2018-03-01,527,0,"Dados Históricos","actual","histórico",NA,NA
28006,2018-12-01,433,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-06-01,455,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-02-01,452,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-04-01,504,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-07-01,522,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-05-01,522,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-08-01,402,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-05-01,495,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-02-01,378,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-07-01,459,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-06-01,460,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-04-01,505,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-11-01,406,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-10-01,458,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-05-01,518,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-09-01,415,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-06-01,508,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-02-01,375,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-09-01,377,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-07-01,472,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-11-01,465,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-04-01,472,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-06-01,478,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-10-01,411,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-02-01,452,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-12-01,427,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-05-01,525,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-07-01,470,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-10-01,411,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-11-01,412,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-10-01,462,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-06-01,409,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-12-01,514,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-03-01,475,0,"Dados Históricos","actual","histórico",NA,NA
28006,2018-09-01,397,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-01-01,475,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-11-01,373,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-01-01,431,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-09-01,434,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-06-01,485,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-12-01,473,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-06-01,440,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-01-01,415,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-05-01,570,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-07-01,403,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-02-01,432,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-07-01,486,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-10-01,357,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-12-01,416,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-12-01,350,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-02-01,439,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-07-01,507,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-02-01,423,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-09-01,374,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-04-01,505,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-04-01,543,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-10-01,403,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-10-01,468,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-12-01,340,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-08-01,491,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-03-01,507,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-06-01,497,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-03-01,485,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-02-01,447,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-10-01,422,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-06-01,510,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-03-01,499,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-04-01,507,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-12-01,468,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-12-01,405,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-07-01,453,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-09-01,440,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-08-01,510,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-11-01,410,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-11-01,346,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-08-01,469,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-05-01,560,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-01-01,421,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-07-01,411,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-07-01,467,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-06-01,481,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-01-01,410,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-08-01,480,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-03-01,473,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-06-01,489,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-02-01,409,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-11-01,412,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-09-01,460,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-05-01,561,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-07-01,404,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-08-01,478,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-06-01,503,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-04-01,496,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-12-01,392,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-09-01,519,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-04-01,407,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-10-01,419,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-12-01,359,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-04-01,540,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-01-01,434,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-09-01,423,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-07-01,402,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-10-01,496,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-03-01,531,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-05-01,529,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-03-01,457,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-04-01,503,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-06-01,485,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-09-01,469,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-03-01,539,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-08-01,502,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-04-01,507,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-01-01,526,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-06-01,499,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-01-01,443,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-04-01,494,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-07-01,499,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-10-01,427,0,"Dados Históricos","actual","histórico",NA,NA
28006,2018-10-01,420,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-09-01,327,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-09-01,406,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-07-01,491,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-03-01,528,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-12-01,451,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-02-01,425,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-03-01,525,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-11-01,408,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-07-01,533,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-11-01,397,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-11-01,422,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-07-01,521,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-01-01,418,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-08-01,512,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-11-01,394,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-08-01,438,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-03-01,497,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-08-01,425,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-01-01,441,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-02-01,451,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-10-01,415,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-01-01,417,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-03-01,534,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-10-01,431,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-11-01,394,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-11-01,400,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-10-01,472,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-02-01,416,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-11-01,410,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-01-01,413,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-02-01,447,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-01-01,392,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-11-01,400,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-05-01,584,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-05-01,524,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-01-01,382,0,"Dados Históricos","actual","histórico",NA,NA
28006,2018-02-01,426,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-04-01,505,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-09-01,459,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-05-01,580,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-02-01,400,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-02-01,408,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-01-01,435,0,"Dados Históricos","actual","histórico",NA,NA
28006,2008-03-01,507,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-07-01,512,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-02-01,391,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-09-01,442,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-12-01,412,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-01-01,417,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-03-01,539,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-06-01,482,0,"Dados Históricos","actual","histórico",NA,NA
28006,2018-05-01,544,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-06-01,491,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-05-01,548,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-03-01,413,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-07-01,446,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-02-01,398,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-03-01,521,0,"Dados Históricos","actual","histórico",NA,NA
28006,2020-05-01,509,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-08-01,426,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-05-01,459,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-09-01,438,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-01-01,429,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-06-01,509,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-01-01,427,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-10-01,373,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-03-01,527,0,"Dados Históricos","actual","histórico",NA,NA
28006,2016-11-01,375,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-02-01,401,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-06-01,416,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-06-01,530,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-04-01,512,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-06-01,496,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-12-01,362,0,"Dados Históricos","actual","histórico",NA,NA
28006,2011-02-01,400,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-04-01,415,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-04-01,477,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-09-01,430,0,"Dados Históricos","actual","histórico",NA,NA
28006,2021-08-01,429,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-09-01,490,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-11-01,435,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-08-01,428,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-11-01,427,0,"Dados Históricos","actual","histórico",NA,NA
28006,2017-09-01,442,0,"Dados Históricos","actual","histórico",NA,NA
28006,2010-11-01,418,0,"Dados Históricos","actual","histórico",NA,NA
28006,2004-10-01,440,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-10-01,426,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-02-01,409,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-07-01,450,0,"Dados Históricos","actual","histórico",NA,NA
28006,2022-05-01,440,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-01-01,394,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-08-01,471,0,"Dados Históricos","actual","histórico",NA,NA
28006,2009-11-01,399,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-04-01,566,0,"Dados Históricos","actual","histórico",NA,NA
28006,2001-10-01,442,0,"Dados Históricos","actual","histórico",NA,NA
28006,2013-01-01,459,0,"Dados Históricos","actual","histórico",NA,NA
28006,2000-07-01,552,0,"Dados Históricos","actual","histórico",NA,NA
28006,2014-12-01,430,0,"Dados Históricos","actual","histórico",NA,NA
28006,2012-07-01,436,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-02-01,419,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-07-01,445,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-03-01,528,0,"Dados Históricos","actual","histórico",NA,NA
28006,2002-05-01,491,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-05-01,527,0,"Dados Históricos","actual","histórico",NA,NA
28006,2005-10-01,433,0,"Dados Históricos","actual","histórico",NA,NA
28006,2006-04-01,521,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-10-01,437,0,"Dados Históricos","actual","histórico",NA,NA
28006,2023-02-01,358,0,"Dados Históricos","actual","histórico",NA,NA
28006,2007-12-01,394,0,"Dados Históricos","actual","histórico",NA,NA
28006,2003-12-01,474,0,"Dados Históricos","actual","histórico",NA,NA
28006,2015-01-01,448,0,"Dados Históricos","actual","histórico",NA,NA
28006,2019-09-01,428,NA,"ACTUAL","actual","histórico",NA,NA
28006,2023-08-01,355,NA,"ACTUAL","actual","histórico",NA,NA
28006,2010-05-01,496,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-11-01,421,NA,"ACTUAL","actual","histórico",NA,NA
28006,2008-09-01,499,NA,"ACTUAL","actual","histórico",NA,NA
28006,2023-11-01,350,NA,"ACTUAL","actual","histórico",NA,NA
28006,2023-06-01,374,NA,"ACTUAL","actual","histórico",NA,NA
28006,2007-05-01,507,NA,"ACTUAL","actual","histórico",NA,NA
28006,2013-10-01,424,NA,"ACTUAL","actual","histórico",NA,NA
28006,2015-05-01,565,NA,"ACTUAL","actual","histórico",NA,NA
28006,2005-03-01,518,NA,"ACTUAL","actual","histórico",NA,NA
28006,2006-09-01,487,NA,"ACTUAL","actual","histórico",NA,NA
28006,2021-09-01,406,NA,"ACTUAL","actual","histórico",NA,NA
28006,2022-10-01,282,NA,"ACTUAL","actual","histórico",NA,NA
28006,2010-08-01,432,NA,"ACTUAL","actual","histórico",NA,NA
28006,2003-08-01,461,NA,"ACTUAL","actual","histórico",NA,NA
28006,2020-03-01,480,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-01-01,426,NA,"ACTUAL","actual","histórico",NA,NA
28006,2001-12-01,477,NA,"ACTUAL","actual","histórico",NA,NA
28006,2023-05-01,448,NA,"ACTUAL","actual","histórico",NA,NA
28006,2008-08-01,443,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-06-01,504,NA,"ACTUAL","actual","histórico",NA,NA
28006,2017-05-01,547,NA,"ACTUAL","actual","histórico",NA,NA
28006,2006-01-01,420,NA,"ACTUAL","actual","histórico",NA,NA
28006,2021-04-01,448,NA,"ACTUAL","actual","histórico",NA,NA
28006,2008-12-01,417,NA,"ACTUAL","actual","histórico",NA,NA
28006,2004-02-01,418,NA,"ACTUAL","actual","histórico",NA,NA
28006,2021-11-01,394,NA,"ACTUAL","actual","histórico",NA,NA
28006,2023-09-01,346,NA,"ACTUAL","actual","histórico",NA,NA
28006,2014-06-01,472,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-08-01,455,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-07-01,467,NA,"ACTUAL","actual","histórico",NA,NA
28006,2011-07-01,481,NA,"ACTUAL","actual","histórico",NA,NA
28006,2017-04-01,503,NA,"ACTUAL","actual","histórico",NA,NA
28006,2003-09-01,443,NA,"ACTUAL","actual","histórico",NA,NA
28006,2004-08-01,442,NA,"ACTUAL","actual","histórico",NA,NA
28006,2010-03-01,503,NA,"ACTUAL","actual","histórico",NA,NA
28006,2017-10-01,458,NA,"ACTUAL","actual","histórico",NA,NA
28006,2022-08-01,338,NA,"ACTUAL","actual","histórico",NA,NA
28006,2005-04-01,501,NA,"ACTUAL","actual","histórico",NA,NA
28006,2001-03-01,494,NA,"ACTUAL","actual","histórico",NA,NA
28006,2012-12-01,436,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-04-01,533,NA,"ACTUAL","actual","histórico",NA,NA
28006,2022-12-01,353,NA,"ACTUAL","actual","histórico",NA,NA
28006,2017-03-01,526,NA,"ACTUAL","actual","histórico",NA,NA
28006,2012-08-01,411,NA,"ACTUAL","actual","histórico",NA,NA
28006,2004-01-01,372,NA,"ACTUAL","actual","histórico",NA,NA
28006,2016-12-01,405,NA,"ACTUAL","actual","histórico",NA,NA
28006,2002-12-01,427,NA,"ACTUAL","actual","histórico",NA,NA
28006,2012-05-01,493,NA,"ACTUAL","actual","histórico",NA,NA
28006,2020-08-01,439,NA,"ACTUAL","actual","histórico",NA,NA
28006,2011-11-01,402,NA,"ACTUAL","actual","histórico",NA,NA
28006,2001-08-01,530,NA,"ACTUAL","actual","histórico",NA,NA
28006,2015-04-01,545,NA,"ACTUAL","actual","histórico",NA,NA
28006,2001-06-01,562,NA,"ACTUAL","actual","histórico",NA,NA
28006,2014-04-01,452,NA,"ACTUAL","actual","histórico",NA,NA
28006,2009-12-01,393,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-03-01,527,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-12-01,433,NA,"ACTUAL","actual","histórico",NA,NA
28006,2002-06-01,455,NA,"ACTUAL","actual","histórico",NA,NA
28006,2008-02-01,452,NA,"ACTUAL","actual","histórico",NA,NA
28006,2002-04-01,504,NA,"ACTUAL","actual","histórico",NA,NA
28006,2008-07-01,522,NA,"ACTUAL","actual","histórico",NA,NA
28006,2004-05-01,522,NA,"ACTUAL","actual","histórico",NA,NA
28006,2002-08-01,402,NA,"ACTUAL","actual","histórico",NA,NA
28006,2021-05-01,495,NA,"ACTUAL","actual","histórico",NA,NA
28006,2021-02-01,378,NA,"ACTUAL","actual","histórico",NA,NA
28006,2007-07-01,459,NA,"ACTUAL","actual","histórico",NA,NA
28006,2019-06-01,460,NA,"ACTUAL","actual","histórico",NA,NA
28006,2003-04-01,505,NA,"ACTUAL","actual","histórico",NA,NA
28006,2003-11-01,406,NA,"ACTUAL","actual","histórico",NA,NA
28006,2015-10-01,458,NA,"ACTUAL","actual","histórico",NA,NA
28006,2003-05-01,518,NA,"ACTUAL","actual","histórico",NA,NA
28006,2012-09-01,415,NA,"ACTUAL","actual","histórico",NA,NA
28006,2005-06-01,508,NA,"ACTUAL","actual","histórico",NA,NA
28006,2022-02-01,375,NA,"ACTUAL","actual","histórico",NA,NA
28006,2016-09-01,377,NA,"ACTUAL","actual","histórico",NA,NA
28006,2014-07-01,472,NA,"ACTUAL","actual","histórico",NA,NA
28006,2001-11-01,465,NA,"ACTUAL","actual","histórico",NA,NA
28006,2020-04-01,472,NA,"ACTUAL","actual","histórico",NA,NA
28006,2013-06-01,478,NA,"ACTUAL","actual","histórico",NA,NA
28006,2011-10-01,411,NA,"ACTUAL","actual","histórico",NA,NA
28006,2001-02-01,452,NA,"ACTUAL","actual","histórico",NA,NA
28006,2013-12-01,427,NA,"ACTUAL","actual","histórico",NA,NA
28006,2013-05-01,525,NA,"ACTUAL","actual","histórico",NA,NA
28006,2020-07-01,470,NA,"ACTUAL","actual","histórico",NA,NA
28006,2002-10-01,411,NA,"ACTUAL","actual","histórico",NA,NA
28006,2017-11-01,412,NA,"ACTUAL","actual","histórico",NA,NA
28006,2006-10-01,462,NA,"ACTUAL","actual","histórico",NA,NA
28006,2010-06-01,409,NA,"ACTUAL","actual","histórico",NA,NA
28006,2000-12-01,514,NA,"ACTUAL","actual","histórico",NA,NA
28006,2022-03-01,475,NA,"ACTUAL","actual","histórico",NA,NA
28006,2018-09-01,397,NA,"ACTUAL","actual","histórico",NA,NA
28006,2002-01-01,475,NA,"ACTUAL","actual","histórico",NA,NA
28006,2007-11-01,373,NA,"ACTUAL","actual","histórico",NA,NA
28006,2022-01-01,431,NA,"ACTUAL","actual","histórico",NA,NA
28006,2013-09-01,434,NA,"ACTUAL","actual","histórico",NA,NA
28006,2020-06-01,485,NA,"ACTUAL","actual","histórico",NA,NA
